province,year,carbon_intensity,digital_finance,gdp_per_capita,industrial_structure,urbanization,government_intervention,innovation,energy_structure,gdp_nominal,gdp_index_previous_year_100,gdp_real,population,urban_population,secondary_industry,fiscal_expenditure,carbon_emissions_mt,patent_grants,coal_related_tce,total_energy_tce
北京,2011,0.5365969439519335,79.41,8.721986166007905,0.20184894608939974,0.8621541501976284,0.18383135164530146,9.672878705110646,0.15712185710294102,17653.3,107.8,17653.3,2024.0,1745.0,3563.3,3245.23,94.72706830666667,15880,807.543843,5139.6022036
北京,2012,0.504130740897563,150.65,9.157967949951876,0.19705339758691354,0.8628488931665063,0.1883306163540011,9.910512817472881,0.14710604571605526,19568.3,107.8,19030.2574,2078.0,1793.0,3856.0,3685.31,95.93737762533331,20140,776.5463621387001,5278.82017600822
北京,2013,0.4233859979448359,215.62,9.636026805835293,0.19168122873172078,0.864,0.19192771084337348,9.937695723865865,0.12314405622491834,21746.0,107.6,20476.556962399998,2125.0,1836.0,4168.3,4173.66,86.69487504,20695,612.9153630000002,4977.2224644
北京,2014,0.40496959804521965,235.36,10.120380295096822,0.18801823772664616,0.8650391524643022,0.19190626656770227,10.053544148742807,0.10899531545865644,23577.5,107.3,21971.3456206552,2171.0,1878.0,4433.0,4524.67,88.97727004509333,23237,555.0511654665,5092.431386897901
北京,2015,0.3553586100847727,276.38,10.724587350484349,0.16976964826900107,0.8670018281535649,0.22039171701729654,10.471893167932329,0.08987661375420951,26034.1,106.8,23465.397122859755,2188.0,1897.0,4419.8,5737.7,83.38630906666667,35308,464.47098149999994,5167.873622499999
北京,2016,0.2984886264555511,286.3704823827899,11.43871294827332,0.1640651647227194,0.8674259681093394,0.2252835045202488,10.611597234485588,0.07197277422819744,28438.7,107.0,25107.974921459936,2195.0,1904.0,4665.8,6406.77,74.94444947387,40602,367.1443038084,5101.155370839666
北京,2017,0.26076532746221076,329.943803306312,12.245001443009176,0.16118930341985385,0.8691886964448496,0.21785583175583143,10.738394678133906,0.0434417639740186,31325.9,107.0,26865.533165962133,2194.0,1907.0,5049.4,6824.53,70.05599553469,46091,225.22213037355579,5184.460983404249
北京,2018,0.25027707953923545,368.5369834296447,13.101849887962373,0.15577878013958488,0.8708941605839416,0.21248954819773958,10.757455972332892,0.01722872930064641,35161.4,106.9,28719.25495441352,2192.0,1909.0,5477.4,7471.43,71.87771256533334,46978,92.73042600000002,5382.3137146
北京,2019,0.23444771024896965,399.0025774708307,13.953099210728762,0.15391479333809938,0.8735159817351598,0.19615510895755553,10.88045937522055,0.012664845771501617,37767.0,106.4,30557.28727149599,2190.0,1913.0,5812.9,7408.19,71.6408603222222,53127,68.844234,5435.8525356
北京,2020,0.21322857551524008,417.875399830429,14.154906027088595,0.15322723070050595,0.8752855185015989,0.18481856242013736,11.055119145179875,0.011074920438963009,38503.6,101.4,30985.089293296933,2189.0,1916.0,5899.8,7116.18,66.06906452222222,63266,53.91079200000001,4867.8265724
北京,2021,0.1979804812777308,445.4406172141791,15.457157381580744,0.1743422313514781,0.8752855185015989,0.16245786425016967,11.279870457047238,0.007099257832902946,44350.7,109.2,33835.71750828025,2189.0,1916.0,7732.2,7205.12,66.98811636666666,79210,36.326436,5116.934312716153
北京,2022,0.19840254645726554,452.8302315021897,15.647470093114952,0.15391487404472118,0.8759157509157509,0.16516482981885083,11.386545582088326,0.0058650797831426155,45222.4,101.0,34174.074683363055,2184.0,1913.0,6960.4,7469.15,67.8022344,88127,28.300566000000003,4825.265306934333
天津,2011,1.8098303036112995,60.58,6.1452647278150625,0.4558173963692846,0.8046234153616704,0.21798005048053587,7.835579246669965,0.30137744557631885,8240.8,113.4,8240.8,1341.0,1079.0,3756.3,1796.33,149.14449565999996,2528,1815.5222455,6024.0813377
天津,2012,1.5605839880716517,122.96,6.656030769230768,0.44968998150766887,0.8156748911465893,0.23313499401718699,8.109826276018477,0.3109407062970375,9193.0,111.3,9172.0104,1378.0,1124.0,4134.0,2143.21,143.13692568666664,3326,2043.081521,6570.6466848
天津,2013,1.4956102631854167,175.26,7.161974078297871,0.4374205971097348,0.8226950354609929,0.2530183023662061,8.052614818815567,0.2864516138568551,10075.2,110.1,10098.383450399999,1410.0,1160.0,4407.1,2549.21,151.03245929999997,3141,1917.784042,6694.966791
天津,2014,1.3258856401467938,200.16,7.596754520069979,0.4293807911286421,0.8257522743177047,0.2683641573326387,8.09559870137819,0.2753303067992019,10749.2,107.5,10855.76220918,1429.0,1180.0,4615.5,2884.7,143.93499225999997,3279,1902.201374,6908.7976406
天津,2015,1.1653897865570306,237.53,8.056952077417819,0.4122984241266576,0.8290479499652537,0.2968399882452338,8.439231649946526,0.25263023503126014,10889.2,106.8,11593.954039404241,1439.0,1193.0,4489.6,3232.35,135.1147562333333,4624,1765.6550335000002,6989.088353900001
天津,2016,1.0626770403316455,245.8382049483305,8.500626038592992,0.3802559414990859,0.832986832986833,0.3220536258379037,8.55371796609861,0.23399093958691317,11487.0,105.8,12266.403373689687,1443.0,1202.0,4368.0,3699.43,130.35225232666667,5185,1618.174097,6915.5416866
天津,2017,1.043888712534828,284.033712372482,8.97796332031756,0.3660592547440689,0.8354609929078014,0.2632729664265892,8.67334187390617,0.20664690597886892,12468.2,103.2,12658.928281647759,1410.0,1178.0,4564.1,3282.54,132.14512346,5844,1372.127449,6639.9612542
天津,2018,1.059069392598462,316.8846573713342,9.446141711251256,0.3605446234835323,0.8394793926247288,0.23138743279820445,8.635331719433278,0.20084072129234154,13411.1,103.2,13064.013986660486,1383.0,1161.0,4835.3,3103.16,138.35697357750334,5626,1343.808265,6690.91535
天津,2019,1.0058904693570843,344.1120785937147,9.885261124924325,0.3558791816814686,0.8433212996389892,0.25222810203444657,8.522379718103538,0.1935038406681345,14097.2,104.8,13691.08665802019,1385.0,1168.0,5016.9,3555.71,137.71733584444442,5025,1372.6564745,7093.691111041829
天津,2020,0.9246437774079365,361.4551313533893,10.019072067693218,0.34900356972201146,0.8471521268925739,0.2214457374146218,8.56845648535378,0.19424509076247448,14230.8,101.5,13896.452957890493,1387.0,1175.0,4966.6,3151.35,128.49268755555556,5262,1382.482651,7117.207676
天津,2021,0.9500958183802528,395.7348891947368,10.809476882029896,0.35918897422513857,0.8485069191551348,0.19589329654761017,8.906122330884303,0.16912825757862668,16093.2,106.8,14841.411759027047,1373.0,1165.0,5780.5,3152.55,141.0076325111111,7376,1154.0373555,6823.4449525
天津,2022,0.921283857373204,407.3049083668797,11.019448789534389,0.36728456460801157,0.851063829787234,0.16456159387527503,9.371268036082466,0.1616860317849589,16588.5,101.2,15019.508700135371,1363.0,1160.0,6092.7,2729.83,138.37230911111112,11745,1093.8691245,6765.390382979012
河北,2011,2.871527909805926,32.42,3.002170907079646,0.47327017230341245,0.45589048672566373,0.16292551942040465,7.293017679772782,0.63625953382218,21711.7,110.3,21711.7,7232.0,3297.0,10275.5,3537.39,623.4575251933333,1469,15294.653922500001,24038.3885969
河北,2012,2.721568837393251,89.32,3.2498785320848254,0.46591117577536667,0.4659873313136877,0.17405759195811804,7.56734567601324,0.6320270232416754,23437.3,108.7,23600.6179,7262.0,3384.0,10919.7,4079.44,642.3070621986535,1933,15619.307161934592,24713.036923362783
河北,2013,2.575671014545788,144.98,3.5038238978869374,0.45331743656500034,0.4802414928649835,0.17882161149433679,7.605392364814935,0.5586651438178267,24659.1,108.2,25535.8685678,7288.0,3500.0,11178.4,4409.58,657.7199650133333,2008,15787.024949499999,28258.4749097
河北,2014,2.2944822796025535,160.76,3.7172246201385764,0.4475454393018277,0.4936501433838591,0.18239283109955118,7.734996194022781,0.5419205297384367,25644.1,106.6,27221.235893274796,7323.0,3615.0,11476.9,4677.3,624.58643386,2286,15319.276535819103,28268.49269433122
河北,2015,2.199232589730753,199.53,3.9581048242365533,0.4307305162634002,0.5166780122532335,0.21059560800326052,8.253488028345904,0.526171094811966,26744.1,106.8,29072.279934017482,7345.0,3795.0,11519.5,5632.19,639.3670548866667,3840,14813.325279499999,28153.057865699997
河北,2016,1.9811961390235808,214.3588258878981,4.206118330792767,0.42702313389682023,0.5387118644067797,0.20947343635841092,8.354203562921775,0.509909338375378,28879.7,106.7,31020.122689596657,7375.0,3973.0,12332.3,6049.53,614.5694730466668,4247,14644.59697742,28720.00152827
河北,2017,1.6387808718630088,258.1665791018198,4.4631462798096955,0.4113244596095347,0.5574301525172088,0.21371553652765932,8.502688505213357,0.49623470142238707,31065.5,106.6,33067.450787110036,7409.0,4130.0,12778.0,6639.18,541.9030583118732,4927,13881.705607040101,27974.07268627152
河北,2018,1.6903547707828381,282.7720567868686,4.742369389748476,0.391662366831578,0.5732561271209264,0.23450420372112787,8.5422759717837,0.45643086212864487,32947.0,106.5,35216.835088272186,7426.0,4257.0,12904.1,7726.21,595.2894520333334,5126,15252.255978999998,33416.35556339999
河北,2019,1.576310341217098,305.0597074481554,5.055296993334627,0.3817957247322694,0.5877534577682288,0.23324603141184894,8.543055850941965,0.44442482405692435,35623.5,106.9,37646.79670936297,7447.0,4377.0,13600.9,8309.04,593.4303496666666,5130,14592.041228999999,32833.5422306
河北,2020,1.5058095770988245,322.6968664345796,5.24553437536676,0.3785288486346292,0.6007502679528403,0.2450413481254159,8.758726607842037,0.43690147095910054,36821.5,104.0,39152.668577737495,7464.0,4484.0,13938.0,9022.79,589.5646331333334,6365,14713.299725000003,33676.471019200006
河北,2021,1.3868268217312492,352.4399842691548,5.609008777181244,0.3992389347027331,0.6114393125671321,0.21473423386255197,9.06207235530708,0.39776265082314277,41205.4,106.7,41775.89737244591,7448.0,4554.0,16450.8,8848.21,579.35934978,8621,12793.166754000002,32162.815507
河北,2022,1.343960662296583,360.6507337110097,5.844121492263996,0.3797996680424924,0.616576819407008,0.2154168103837419,9.394576760974909,0.39485669210041974,43198.3,103.8,43363.38147259885,7420.0,4575.0,16406.7,9305.64,582.7867888333333,12022,12638.547727000001,32007.9359926
山西,2011,6.961473523729906,33.41,3.089584503088153,0.6133701647418015,0.498034811903425,0.2147958673705827,7.016609683894219,0.669264638158942,11005.1,110.1,11005.1,3562.0,1774.0,6750.2,2363.85,766.1171227599999,1114,7932.92075,11853.1897514
山西,2012,7.105329886075247,92.98,3.3902407835400226,0.5797693680888686,0.5132468996617813,0.2334627782431026,7.168579897264035,0.6655970474239483,11819.7,109.3,12028.5743,3548.0,1821.0,6852.7,2759.46,854.6698846066664,1297,8326.3368245,12509.5759615
山西,2013,11.42301824377699,144.22,3.712354897114569,0.5491628189750078,0.5287128712871287,0.24894674575658493,7.195187320178709,0.5891676721925294,12171.8,109.1,13123.1745613,3535.0,1869.0,6684.3,3030.13,1499.0626243,1332,8068.584754,13694.8871006
山西,2014,11.263283025150791,167.66,3.905706714672619,0.518241651092874,0.5430839002267573,0.25069310148695867,7.352441100243583,0.5859613236470032,12307.0,105.0,13779.333289365,3528.0,1916.0,6378.0,3085.28,1552.0053073600002,1559,8051.6728570000005,13740.962981800001
山西,2015,10.379048708421273,206.3,4.03708230216974,0.43367037495534266,0.5586814435919295,0.28439195420443497,7.796880342783522,0.5861718553638163,12036.1,103.1,14206.492621335316,3519.0,1966.0,5219.7,3422.97,1474.4987889266667,2432,7703.214725999999,13141.563613999999
山西,2016,9.699752670866038,224.8107298828103,4.2045396488869455,0.42052285754228996,0.5725668753557199,0.28197629953701037,7.788211557847076,0.5830486260897823,12160.1,104.0,14774.752326188727,3514.0,2012.0,5113.6,3428.86,1433.1144333733332,2411,7841.672534499999,13449.431460099999
山西,2017,9.65074715588968,259.9548522256562,4.4913563339154905,0.452023625426627,0.586039886039886,0.2559026098330279,7.776115477098742,0.5339499369701994,14679.1,106.7,15764.660732043372,3510.0,2057.0,6635.3,3756.42,1521.4075472333332,2382,7457.780209783201,13967.1899805832
山西,2018,9.837672794895848,283.6542400191222,4.789719879752756,0.4379654679287567,0.5985151342090235,0.2652066785942017,7.734121303328305,0.5001849256241194,16153.1,106.4,16773.59901889415,3502.0,2096.0,7074.5,4283.91,1650.1317874066667,2284,7087.330189,14169.4198004
山西,2019,9.52553935984351,308.7259742040338,5.09875200374163,0.42764138409104036,0.6128109808407206,0.2721252382877939,7.741099090035366,0.48102352589480746,17311.0,106.3,17830.335757084482,3497.0,2143.0,7402.9,4710.76,1698.4356505333335,2300,7280.042293,15134.482829
