province,year,carbon_intensity,digital_finance,gdp_per_capita,industrial_structure,urbanization,government_intervention,innovation,energy_structure,gdp,population,urban_population,secondary_industry,fiscal_expenditure,carbon_emissions_mt,raw_coal_emissions_mt
北京,2011,0.5365969439519335,79.41,8.721986166007905,0.20184894608939974,0.8621541501976284,0.18383135164530146,15880,0.45609421543725087,17653.3,2024.0,1745.0,3563.3,3245.23,94.72706830666667,43.204467900000004
北京,2012,0.490269352091563,150.65,9.41689124157844,0.19705339758691354,0.8628488931665063,0.1883306163540011,20140,0.431910667781184,19568.3,2078.0,1793.0,3856.0,3685.31,95.93737762533331,41.43637683533333
北京,2013,0.3986704453232779,215.62,10.233411764705883,0.19168122873172078,0.864,0.19192771084337348,20695,0.4244106784438746,21746.0,2125.0,1836.0,4168.3,4173.66,86.69487504,36.79423073333333
北京,2014,0.37738212297781076,235.36,10.860202671579916,0.18801823772664616,0.8650391524643022,0.19190626656770227,23237,0.3553865690837046,23577.5,2171.0,1878.0,4433.0,4524.67,88.97727004509333,31.62132672776
北京,2015,0.3202964921647634,276.38,11.898583180987202,0.16976964826900107,0.8670018281535649,0.22039171701729654,35308,0.25307523064881454,26034.1,2188.0,1897.0,4419.8,5737.7,83.38630906666667,21.1030094
北京,2016,0.2635298008483861,286.3704823827899,12.956127562642369,0.1640651647227194,0.8674259681093394,0.2252835045202488,40602,0.2054927775792948,28438.7,2195.0,1904.0,4665.8,6406.77,74.94444947387,15.400543086536663
北京,2017,0.2236360185491558,329.943803306312,14.27798541476755,0.16118930341985385,0.8691886964448496,0.21785583175583143,46091,0.12769680507273923,31325.9,2194.0,1907.0,5049.4,6824.53,70.05599553469,8.945926805969998
北京,2018,0.2044222146027557,368.5369834296447,16.040784671532847,0.15577878013958488,0.8708941605839416,0.21248954819773958,46978,0.05640124440032021,35161.4,2192.0,1909.0,5477.4,7471.43,71.87771256533334,4.053992433333333
北京,2019,0.18969168936431857,399.0025774708307,17.245205479452054,0.15391479333809938,0.8735159817351598,0.19615510895755553,53127,0.037550622478573756,37767.0,2190.0,1913.0,5812.9,7408.19,71.6408603222222,2.6901588999999992
北京,2020,0.17159191483970906,417.875399830429,17.589584285061672,0.15322723070050595,0.8752855185015989,0.18481856242013736,63266,0.02955145973564225,38503.6,2189.0,1916.0,5899.8,7116.18,66.06906452222222,1.9524373
北京,2021,0.15104184684044822,445.4406172141791,20.26071265417999,0.1743422313514781,0.8752855185015989,0.16245786425016967,79210,0.0318172657420858,44350.7,2189.0,1916.0,7732.2,7205.12,66.98811636666666,2.1313787
北京,2022,0.14993064145202378,452.8302315021897,20.706227106227107,0.15391487404472118,0.8759157509157509,0.16516482981885083,88127,0.021399378346544085,45222.4,2184.0,1913.0,6960.4,7469.15,67.8022344,1.4509256666666666
天津,2011,1.8098303036112995,60.58,6.1452647278150625,0.4558173963692846,0.8046234153616704,0.21798005048053587,2528,0.5842108802904246,8240.8,1341.0,1079.0,3756.3,1796.33,149.14449565999996,87.13183709999998
天津,2012,1.5570208385365674,122.96,6.671262699564586,0.44968998150766887,0.8156748911465893,0.23313499401718699,3326,0.6045712044710181,9193.0,1378.0,1124.0,4134.0,2143.21,143.13692568666664,86.53646356666665
天津,2013,1.4990517240352546,175.26,7.145531914893618,0.4374205971097348,0.8226950354609929,0.2530183023662061,3141,0.5738953187175353,10075.2,1410.0,1160.0,4407.1,2549.21,151.03245929999997,86.67682136666666
天津,2014,1.3390298092881328,200.16,7.522183344996502,0.4293807911286421,0.8257522743177047,0.2683641573326387,3279,0.5716670515026665,10749.2,1429.0,1180.0,4615.5,2884.7,143.93499225999997,82.2828926333333
天津,2015,1.2408143503042768,237.53,7.5671994440583745,0.4122984241266576,0.8290479499652537,0.2968399882452338,4624,0.5507676001340734,10889.2,1439.0,1193.0,4489.6,3232.35,135.1147562333333,74.41683003333333
天津,2016,1.134780641826993,245.8382049483305,7.960498960498961,0.3802559414990859,0.832986832986833,0.3220536258379037,5185,0.5241293795378213,11487.0,1443.0,1202.0,4368.0,3699.43,130.35225232666667,68.32144513333333
天津,2017,1.0598572645610433,284.033712372482,8.842695035460993,0.3660592547440689,0.8354609929078014,0.2632729664265892,5844,0.48073780883204154,12468.2,1410.0,1178.0,4564.1,3282.54,132.14512346,63.52715710000001
天津,2018,1.031660144041155,316.8846573713342,9.69710773680405,0.3605446234835323,0.8394793926247288,0.23138743279820445,5626,0.45321544681572756,13411.1,1383.0,1161.0,4835.3,3103.16,138.35697357750334,62.705517599999986
天津,2019,0.9769126907786256,344.1120785937147,10.178483754512635,0.3558791816814686,0.8433212996389892,0.25222810203444657,5025,0.43810997671455426,14097.2,1385.0,1168.0,5016.9,3555.71,137.71733584444442,60.335338799999995
天津,2020,0.9029196359695559,361.4551313533893,10.260129776496035,0.34900356972201146,0.8471521268925739,0.2214457374146218,5262,0.46198220974767645,14230.8,1387.0,1175.0,4966.6,3151.35,128.49268755555556,59.36133573333333
