model,var_names,coefficients,std_err,zt_stat,prob,aic,log_likelihood,n_obs
SAR,CONSTANT,-0.6810347401099479,1.6179769993299624,-0.42091744220837407,0.673815368113394,1329.297162092544,-644.648581046272,360
SAR,digital_finance,0.021256235906866525,0.00876457816306592,2.4252434642480183,0.015298123489308209,1329.297162092544,-644.648581046272,360
SAR,gdp_per_capita,-0.027936287328605647,0.10045768667407026,-0.27809009199309437,0.7809432013286302,1329.297162092544,-644.648581046272,360
SAR,industrial_structure,3.5383646671110607,1.2927171928957089,2.7371529415378646,0.006197347343878416,1329.297162092544,-644.648581046272,360
SAR,urbanization,6.249747609556216,1.4771326538404144,4.230999560741837,2.3265512640412472e-05,1329.297162092544,-644.648581046272,360
SAR,government_intervention,0.7710854283857609,1.4625577171384414,0.5272170932812303,0.5980428397980586,1329.297162092544,-644.648581046272,360
SAR,innovation,-0.9587321154697486,0.1199193903276425,-7.994804783866152,1.297793320571034e-15,1329.297162092544,-644.648581046272,360
SAR,energy_structure,8.3202792958609,0.9816593158256518,8.475729982619171,2.3361002359507913e-17,1329.297162092544,-644.648581046272,360
SAR,year_2012,-1.0852253774731246,0.6248462913751857,-1.7367877387648714,0.08242464407893499,1329.297162092544,-644.648581046272,360
SAR,year_2013,-1.9418820301992346,1.024778491377669,-1.8949285592329814,0.058101866970902916,1329.297162092544,-644.648581046272,360
SAR,year_2014,-2.4134629470893927,1.2017826761692216,-2.008235760880244,0.0446182445704123,1329.297162092544,-644.648581046272,360
SAR,year_2015,-2.9034518077945224,1.5240013638806214,-1.9051503998666741,0.05676052354477996,1329.297162092544,-644.648581046272,360
SAR,year_2016,-2.966260994446717,1.5817675259181765,-1.8752825215101547,0.060753866618693225,1329.297162092544,-644.648581046272,360
SAR,year_2017,-3.687739880280582,1.9017244156944475,-1.9391557734898934,0.05248237306603613,1329.297162092544,-644.648581046272,360
SAR,year_2018,-4.091946373416951,2.1071953216132426,-1.941892301793935,0.05215013954653697,1329.297162092544,-644.648581046272,360
SAR,year_2019,-4.588632146632559,2.2863494433123104,-2.0069688647352417,0.044752978310407664,1329.297162092544,-644.648581046272,360
SAR,year_2020,-4.742428981907555,2.4254950420214847,-1.9552416722134642,0.05055455207757339,1329.297162092544,-644.648581046272,360
SAR,year_2021,-5.017630335827322,2.6337878360642843,-1.90510042878976,0.05676701769367692,1329.297162092544,-644.648581046272,360
SAR,year_2022,-4.896218532012364,2.678613965821908,-1.827892557302487,0.06756567828539595,1329.297162092544,-644.648581046272,360
SAR,W_carbon_intensity,0.37621089386418455,0.05013597483393136,7.5038112874105325,6.198852846103313e-14,1329.297162092544,-644.648581046272,360
SEM,CONSTANT,-1.170169314440912,1.7238436396998276,-0.6788140684526778,0.49725567862775044,1360.010263538382,-661.005131769191,360
SEM,digital_finance,0.008950606704707376,0.009156357972753925,0.9775291367311335,0.3283072602904872,1360.010263538382,-661.005131769191,360
SEM,gdp_per_capita,0.005617223557536022,0.10655165354668084,0.05271831426881692,0.957956346639781,1360.010263538382,-661.005131769191,360
SEM,industrial_structure,3.8103036350484993,1.373406300856743,2.7743455324703246,0.005531289459006532,1360.010263538382,-661.005131769191,360
SEM,urbanization,7.674184025542715,1.5439132918315062,4.970605581378874,6.674410339686427e-07,1360.010263538382,-661.005131769191,360
SEM,government_intervention,1.891589892470222,1.5418664737711505,1.2268182262525664,0.21989091883587764,1360.010263538382,-661.005131769191,360
SEM,innovation,-0.9127531778477862,0.12640557624148752,-7.220830005980479,5.167121367805271e-13,1360.010263538382,-661.005131769191,360
SEM,energy_structure,9.26577256344845,1.0204046484341374,9.08048839023543,1.0808874034229698e-19,1360.010263538382,-661.005131769191,360
SEM,year_2012,-0.4464027188578683,0.6517659075841209,-0.6849126560064095,0.4933990391926951,1360.010263538382,-661.005131769191,360
SEM,year_2013,-0.6396967971412835,1.069964029940314,-0.5978675724051844,0.5499282986397123,1360.010263538382,-661.005131769191,360
SEM,year_2014,-0.9032948068400515,1.2560900074685386,-0.7191322289558747,0.47205945125618076,1360.010263538382,-661.005131769191,360
SEM,year_2015,-1.0489546982105935,1.5966641677043343,-0.6569663924498091,0.5112025262416249,1360.010263538382,-661.005131769191,360
SEM,year_2016,-1.044435201868339,1.6578431434458394,-0.6299963938068788,0.5286969436434181,1360.010263538382,-661.005131769191,360
SEM,year_2017,-1.2893564536660733,1.9919916526482309,-0.6472700083617082,0.5174572086197116,1360.010263538382,-661.005131769191,360
SEM,year_2018,-1.3687061590050007,2.2062217021025714,-0.6203846864984591,0.5350045518939688,1360.010263538382,-661.005131769191,360
SEM,year_2019,-1.6031883762544794,2.393553440446422,-0.6697942687068097,0.502988947636229,1360.010263538382,-661.005131769191,360
SEM,year_2020,-1.5588438640498907,2.539774555670618,-0.6137725336957256,0.5393656496449699,1360.010263538382,-661.005131769191,360
SEM,year_2021,-1.458694926115868,2.7554048480867706,-0.5293940478941671,0.5965321263058292,1360.010263538382,-661.005131769191,360
SEM,year_2022,-1.2790817754984118,2.8024557010241646,-0.45641462772488006,0.6480918489544398,1360.010263538382,-661.005131769191,360
